name,category,repo_url,license,stars,last_commit,latest_release,maturity_score,reliability_score,integration_cost,efficiency_notes,model_fit,mcp,use_cases,limitations,conflicts,references
Playwright,automation,https://github.com/microsoft/playwright,Apache-2.0,83347,2026-03-03T02:18:57Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for automation,Requires configuration; see docs.,None known.,https://github.com/microsoft/playwright
Puppeteer,automation,https://github.com/puppeteer/puppeteer,Apache-2.0,93690,2026-03-02T13:20:02Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for automation,Requires configuration; see docs.,None known.,https://github.com/puppeteer/puppeteer
Scrapy,research,https://github.com/scrapy/scrapy,BSD-3-Clause,60492,2026-03-02T10:47:23Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/scrapy/scrapy
Cheerio,research,https://github.com/cheeriojs/cheerio,MIT,30139,2026-03-03T03:15:54Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for research,Requires configuration; see docs.,None known.,https://github.com/cheeriojs/cheerio
jq,ops,https://github.com/jqlang/jq,MIT,33726,2026-03-02T13:50:02Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/jqlang/jq
ripgrep,ops,https://github.com/BurntSushi/ripgrep,MIT/Unlicense,60437,2026-02-27T16:25:19Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for ops,Requires configuration; see docs.,None known.,https://github.com/BurntSushi/ripgrep
tesseract-ocr,automation,https://github.com/tesseract-ocr/tesseract,Apache-2.0,72644,2026-02-28T12:13:30Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for automation,Requires configuration; see docs.,None known.,https://github.com/tesseract-ocr/tesseract
whisper.cpp,content,https://github.com/ggerganov/whisper.cpp,MIT,47168,2026-02-27T18:58:02Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for content,Requires configuration; see docs.,None known.,https://github.com/ggerganov/whisper.cpp
Supabase CLI,connectors,https://github.com/supabase/cli,Apache-2.0,1601,2026-03-03T02:28:15Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for connectors,Requires configuration; see docs.,None known.,https://github.com/supabase/cli
Prisma,code,https://github.com/prisma/prisma,Apache-2.0,45434,2026-03-02T15:18:02Z,unknown,4.0,4.0,low,General purpose; see methodology.,any,no,See thesis section; typical scenarios for code,Requires configuration; see docs.,None known.,https://github.com/prisma/prisma
Vercel CLI,deploy,https://github.com/vercel/vercel,Apache-2.0,14930,2026-03-03T04:07:33Z,unknown,4.0,4.0,medium,General purpose; see methodology.,any,no,See thesis section; typical scenarios for deploy,Requires configuration; see docs.,None known.,https://github.com/vercel/vercel
